docity,do,city,longitude,latitude
서울강남구,서울,강남구,127.0495556,37.514575
서울강동구,서울,강동구,127.1258639,37.52736667
서울강북구,서울,강북구,127.0277194,37.63695556
서울강서구,서울,강서구,126.851675,37.54815556
서울관악구,서울,관악구,126.9538444,37.47538611
서울광진구,서울,광진구,127.0845333,37.53573889
서울구로구,서울,구로구,126.8895972,37.49265
서울금천구,서울,금천구,126.9041972,37.44910833
서울노원구,서울,노원구,127.0583889,37.65146111
서울도봉구,서울,도봉구,127.0495222,37.66583333
서울동대문구,서울,동대문구,127.0421417,37.571625
서울동작구,서울,동작구,126.941575,37.50965556
서울마포구,서울,마포구,126.9105306,37.56070556
서울서대문구,서울,서대문구,126.9388972,37.57636667
서울서초구,서울,서초구,127.0348111,37.48078611
서울성동구,서울,성동구,127.039,37.56061111
서울성북구,서울,성북구,127.0203333,37.58638333
서울송파구,서울,송파구,127.1079306,37.51175556
서울양천구,서울,양천구,126.8687083,37.51423056
서울영등포구,서울,영등포구,126.8983417,37.52361111
서울용산구,서울,용산구,126.9675222,37.53609444
서울은평구,서울,은평구,126.9312417,37.59996944
서울종로구,서울,종로구,126.9816417,37.57037778
서울중구,서울,중구,126.9996417,37.56100278
서울중랑구,서울,중랑구,127.0947778,37.60380556
